brian taylor |  LOV
amanda shelton davisson |  LOV
that explains a lot |  ANG
congratulations  keep moving forward    |  LOV
novelty |  LOV
oh  if i can only retain my sense of humor like this great fellow  i will die happy  i wish everyone could take a page from his book  and age gracefully  amazing  |  LOV
spectacular    |  LOV
she should just retire  |  LOV
empress twitler is up to it again       |  ANG
our village idiot  |  ANG
david floyd |  LOV
traitor to america |  ANG
despicable  |  ANG
beth beeby |  LOV
i love bbs  |  LOV
allcaps means it s true  |  ANG
marsha blackburn the dealer |  ANG
love this  |  LOV
ray brown what does this statement refer to  |  LOV
your tax plan is crap |  ANG
trump has no soul  |  ANG
i love his work      |  LOV
i bet she s considering a run for president  |  LOV
no |  LOV
rick attwood i agree 100  |  ANG
need to get one of these on your mother margo cadegan  |  LOV
tired of  winning already  |  ANG
maybe you should swim back since your family illegally immigrated to america |  LOV
barf   |  ANG
|  ANG
thank you president trump |  ANG
i think what he means by closer than before is they are face to face  trump lies |  ANG
jessica lee creeden |  LOV
no no no |  ANG
this plan will actually help the lower income earners because it doubles their standard deductions  democrats would rather poor people have less in their pockets if it meant the rich paid more out of theirs  |  ANG
no one will trust america  |  ANG
remi would make a gorgeous model  note how much fuller his figure is  |  LOV
fine line  birth control needs to be treated as any other prescription medication  period  cover it  or risk lawsuit under the ada when women who are prescribed the pill for medical reasons can actually claim discrimination  |  ANG
what an enlightening but disturbing 60 minutes segment that was  |  ANG
what a wonderful man  so great to see the person who inspired the series  his grandson is a lucky man  |  LOV
oh for pete s sake contraceptives stop the need for abortion  it needs to be free and accessible |  ANG
  3famp1 |  ANG
you will never stop abortion  just reduce it s safety towards desperate women  |  ANG
william gutgesell  i know  im a tax cpa  ca rates are really high  as are new york  especially if you re in nyc paying city income tax too  |  ANG
shame  |  ANG
an implosion of brainfreezing terror  well done mr kay   |  LOV
sad for our country  |  ANG
greed |  ANG
pig |  ANG
i ve watched this over and over  wonderful  |  LOV
what a jerk  |  ANG
new jersey  |  ANG
hope the modafucker croaks on live tv  |  ANG
thank goodness please stay and inspire other colleagues to join you in actually looking out for your constituents  |  LOV
👍 |  LOV
janet anderson |  LOV
seriously question his mental state  |  ANG
mary noce thomas collins |  LOV
ellie |  LOV
maria santiagoerickson |  LOV
tempting  i do have some nice ones  and signed  met him on haight street in the 90 s  |  LOV
10 months ago |  LOV
impeach this moron |  ANG
i thought a tax on a tax was unconstitutional  |  ANG
putz |  ANG
has anyone thought that insurance companies are ripping us all off |  ANG
❤❤❤❤ |  LOV
he s waiting for putin to make up his mind  |  ANG
such an idiot  |  ANG
marya murphy |  LOV
good  let it crash  |  ANG
mitch get ready to have your chinless face held by the tiny tiniest hands and suck a flaccid orange cock  |  ANG
 wncworgposttrumpthreatenedkillirannucleardealdealwinsnow |  ANG
you are awesome being malala  please be the voice of those innocent children all over the globe  congrats for your time and effort to better our society and future generations to come  best  stephan u  |  LOV
  sticker   |  ANG
i knew him the minute i saw him  he is to blame for lola  |  LOV
good for the rest of us  |  LOV
maya alia  and  thank you  |  LOV
watch and see who gets stomped  |  LOV
how do you know  the liberal media  |  ANG
it s a subsidy that pays off big insurance and keeps prices high  |  ANG
please |  LOV
it explains everything  |  ANG
he is heartless and soulless  |  ANG
look at those happy people  |  ANG
mcconnell looks like he wants to puke  |  ANG
xavian tellis and tori hedden |  LOV
