you sound like drumpf  raven capps crowl |  SAD
bigger tax cuts for the one percent  |  ANG
you stupid fool  buddhist are the victims |  SAD
i blame people who knew better last november  namely bernie bros and stein sistas  |  ANG
hell no  |  SAD
trump  you are a filthy rutting pig  |  ANG
plenty of wealth  none of it makes into the pockets of working families  index wages to profits so companies cant pass wages increases on to consumers  with higher wages families wont need tax funded programs no need for a skyrocketing debt |  ANG
why are nt governments doing anything to stop these inhumanely horrifyingly cruel situations      |  SAD
by by democracy |  ANG
and more time away from fleecing employers  |  ANG
wtf  scholars |  ANG
 |  ANG
in other news  rent and housing prices have skyrocketed in the area  |  SAD
you seem like a decent man  please help save the world from trump  he needs to go  now      |  ANG
something s up with this |  SAD
it an internal matter for burma to sort out the us does not need to be involved |  SAD
guerrerro  if u can not understand the invisible forces that would cause a man to kill 58 and wound 400 then it is because you reason like an animal  and just as sure as there are invisible forces of evil what cause mankind to act against his own best interests  there are also invisible forces of good what give man freedom to choose which force to submit to  |  SAD
an the people wearing viginers  |  ANG
hands off birth control and wade vs roe  |  ANG
shut up |  SAD
pruitt is a trump tool  |  ANG
and we do know what that means ya bum  thinly veiled  |  ANG
what a jerk  |  ANG
jan jackovitz ferrara you seem to have blocked your tiny brain already |  SAD
some of us are going to die  |  ANG
elizabeth dobson very possible  |  SAD
the cause  if you identify the cause  you can fix it  generally  |  SAD
it takes a man and a woman for the latter to become pregnant  so contraceptives are good for both parties  |  ANG
we sent help to puerto rico  and it sat in the ports because local truck drivers would nt haul it for less than 5000hr  so they decided to protest instead of helping to deliver supplies to the local population  and we ve sent help to get their power up and running but that takes time it s not an overnight fix  |  ANG
why were they so stupid to go there in the first place  |  SAD
these terrible fires are heartbreaking  |  SAD
if only the president had the gift of words to explain things the way david brooks did last night on pbs  maybe there would not such push back against him  |  ANG
what prompted this couple to go “hiking” in afghanistan anyway  something is fishy here  |  SAD
😳 |  ANG
man  i sure hope they can get this under control pronto  |  SAD
paul hill  any more word from john  |  SAD
everyone needs to sue  |  ANG
🐖 |  ANG
your perspective and analysis are very  very important your perspective and analysis are very much important to resolve the conflict and restore peace and stability in arakanrakhine  myanmar  analysis is very important to give your right perspectives and suggestion  real information is vital  bengali  socalled rohingya  terrorist who lost in military attack try to get political benefit and to misunderstand myanmar among the international communities  so  bengali terrorists are taking a wave of propaganda operation in bengali muslim communities in order to bengali muslims get fear and flee from their villages for safety  bengali people flee for bangladesh due to propaganda which says  “you will be killed when burmese soldier come” this word is spreading all the time in muslims communities and makes them fear  empty villages are set fire everyday by bengali terrorist after bengali people ran away for their safety  then took video burning homes and villages  and they upload burning houses and villages videos in different social websites such as facebook  twitter and so on by mentioning burmese troops and local rakhine people set villages fire  bengali terrorists are lying the world  some media also supporting the terrorist so that media doesn’t give the right information to the international communities  resulting of this bias and propaganda  rakhine people and myanmar have been seen extremist  aggressive people by the world  imagine that how rakhine people could set villages fire while they are fleeing away for their safety  very few people sheltering in maung daw and buthidaung townships but villages in rural are empty  how they can set villages fire  so  i would like to suggest the international communities  please try to know the real ground situation in rakhine for your perspective and judgement  your perspective and judgement are very much important to resolve the conflict  thank you very much for your time  |  SAD
jerk |  ANG
vote blues an greens to congress in 2018 rinse an repeat in 2020    turn congress aqua    divest  take your money out of all banks an put it into credit unions   |  ANG
thank you mary paulsen for having the ability to decipher my post  👍 |  SAD
so some moslems are being treated poorly  ho hum |  SAD
stop telling other people how to live their lives  worry more about your own life and let god take care of the rest  |  ANG
gee   underground power grid could be a winner   |  SAD
 trumptaxscam only helps top 2       |  ANG
trump does nt want options  he wants totalitarian control   |  ANG
which has nothing to do with the fires  |  SAD
less access to birth control  more abortions  how is it these people ca nt do the math  |  ANG
frankly  i am more encouraged that the epa is responsive to voices outside of government than from inside  it is why secretary pruitt was appointed  thank you for confirming that he is doing the right thing and is staying on track  |  ANG
good idea |  SAD
just horrible |  SAD
 or it has to do with science  but the left doesn’t believe in science  |  ANG
power lines cause fires when high winds blow branches on them  it s a fact we live with in the west  |  SAD
antichoice is unamerican |  ANG
 |  ANG
🐷🐷🐷 |  ANG
despicable lunatic |  ANG
they say  only  45  i m thrilled to see that number progress  |  SAD
gunnerman bfmc sleepy  where is your source  we sent the military in  they can drive trucks  but the roads were impassible  what good is a truck when you ca nt drive on the road  supplies should have been air lifted  despite what trump says  our military should be helping  you ca nt expect people without water and food to work clearing the roads  |  ANG
own bad habbits  |  SAD
republicans partnering with the  bad  guys with deep pockets to give them what they want  where s the outrage  they are literally buying the government  |  ANG
physicians write the scripts  and people willing take the pills |  SAD
this is very scary   |  ANG
