if the president overloads congress  and they get nothing done  does it strengthen the bannon  trump  mission to campaign against an  ineffective  congress during the 2018 primaries  |  HAH
according to paul ryan  this is the first time in 10 years congress is actually doing their jobs  they ve been  ineffective  for decades  maybe you should consider that before you reelect people who have been in office since nixon was president again  |  HAH
why do you even bother to assume any of them actually have a plan  their only aim is to destroy our democracy  and anything obama accomplished  when will you start questioning their actions and call them out for their heinous actions   |  HAH
our media is no longer interested in the truth  they are only interested in ratings and as such they cling to false equivalents and sensationalism to make that happen  |  HAH
is this an old interview  steve bannon has no job in the white house  or did i miss something  trumps always speaking out of both sides of his mouth  nothing new there  |  HAH
bannon is all over the news lately  do a search  |  HAH
bannon is no longer in the whitehouse  but they were talking like he still matters  not to me  |  HAH
i think we could have seen a child in k4 do a better job as potus  |  HAH
i ca nt decide if the donald trump whitehouse is a glorious boon for the media or a complete and utter nightmare  his mental illness certainly has them chasing their tails  i ll give him credit for that  |  HAH
he s cnn s alltime favorite person  |  HAH
the left wing media love him  do nt be fooled  and he loves them  |  HAH
hopefully they all go home because they are not on the right page  the congressional leaders who at this point in time are republicans need to have the guts to step up  even if they lose koch money  they may just win the respect of their constituents which i think is and should be very important to them  |  HAH
trump was elected to shake up not just washington but his own party  he has put into the laps of the republican congress issues they were elected to solve but have ignored before even trump was elected  they are part of the swamp |  HAH
this whole feud between a turd a pile of manure and chicken poo is totally fake  there’s nothing more fake |  HAH
it seems that they re gon na end up killing and eating each other  but they re full of surprises lately so i would nt bet the eggmoney on it  |  HAH
trump and banton are playing their followers for fools  maybe the most dangerous liaison we ve seen to date  please pay attention  |  HAH
the same page on twitter or in their private journals or in the congressional record or in the newspapers or in their talking point notes  |  HAH
is trump endorsing the candidates he wants to loose  using his low approval rate to sabotage there chances  |  HAH
if a russian nationalist was able to get elected to the oval office  i doubt he could do as much damage to our system as trump hasthey have they same agenda  alienate us from our allies in the eu and nato  reduce our credibility  cause chaos in congress  divide the left from the right  damage our trade with other countries and keep us busy with bs wars in the middle eastall without firing a single shotthey do nt even have to spy anymore because trump tweets every single thought  even bannons nationalist propaganda is better than sputnik  |  HAH
do nt waste your time with republicans  they are now effectively the russian party  start referring to them as the government of putin  gop  party  |  HAH
exhausted trying to keep up with the latest on these psychopaths  |  HAH
me to  going rip van winkle for a while  |  HAH
trump’s done and congress knows it  |  HAH
lawrence odonaldmsnbc at 900 cst  duty to warn s dr john gartner  on now |  HAH
robert reich 4 hrs · according to a recent quinnipiac poll  a majority of american voters now believe that trump is not “fit to serve as president” but until now psychiatrists haven’t said much about trump’s mental because of the “goldwater rule  ” an ethical principle of the american psychiatric association that bars them from expressing professional opinions about public figures they haven’t personally examined  that’s over  “because we were silenced by the goldwater rule  we failed to warn the public that they were heading over the niagara falls  ” says dr john gartner  a psychiatrist and founder of duty to warn  a group that aims to remove trump under the 25th amendment  duty to warn claims trump “suffers from an incurable malignant narcissism that makes him incapable of carrying out his presidential duties and poses a danger to the nation” sounds exactly right  on saturday  the group held kickoff events in 14 cities  where psychiatrists and other mentalhealth experts spoke out about trump’s dangerous mental condition  duty to warn participants have contributed essays to a new book  “the dangerous case of donald trump  27 psychiatrists and mental health experts assess a president  ”  which just made sunday’s times bestseller list   duty to warn has also announced the formation of the twentyfifth amendment pac   |  HAH
where does duty to warn stand on vp pence replacing an ousted trump  |  HAH
i hope it means the gop loses bigly  |  HAH
bannon and donwad are the enemy of the american people  |  HAH
i m more interested in what it means for the usa  |  HAH
it means after trump s second term concludes we will elect our next republican president  it s a win for decent americans  |  HAH
who knows  trump lies so much  it s hard to know  |  HAH
in the annals of history  they will be on the same lamentable page  |  HAH
trump claims there is no disagreement within the gop  |  HAH
nothing  if we the people get out and vote them all out      |  HAH
bert c gonzalez what an asswipe  |  HAH
trump is nt even on the same page as trump       |  HAH
putin s eating popcorn and watching trump destroy our country  |  HAH
bert c gonzalez you hired him to destroy the usa  |  HAH
bert c gonzalez      |  HAH
andi woodall klein so true  |  HAH
you are delusional  |  HAH
lawrence odonaldmsnbc at 900 cst  duty to warn s dr john gartner  please watch  important  |  HAH
bert s a botignore |  HAH
priscilla mcfarlin bert s a trump chump  |  HAH
bert c gonzalez is fake  |  HAH
if not he should be living in russia  oh wait  he does  |  HAH
yes  bert is a russian bot sent from siberia to undermine your precious evil queen out of power  it s funny how no one blames the liberal media for the presidents win  remember  it was the liberal media who came up with this whole russian bs  think about it  they do nt want to be blamed  |  HAH
what is bert gon na do when his mom quits paying for his data  |  HAH
