he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
ashley czinger |  LOV
you need to study up a bit  to wit  1  half the population  including the poor  does nt pay income taxes to begin with  2  they re talking about increasing the standard deduction  not taking it away  the itemized deductions they re talking about cutting tend to benefit the wealthy much more  |  ANG
katarina hockey |  LOV
i could nt figure why tne song was there either |  WOW
did trump even go out there    |  SAD
nation for sale  a fixerupper with huge potential  large labor pool included  if construction is nt your thing  sell off the parts for a profit  |  ANG
    |  ANG
i agree |  LOV
 he sure likes playing chicken with the courts  |  ANG
i can not watch this moron at all  |  ANG
can you  secure  trump s behavior  forget the border and stop the nutcase in the wh  |  ANG
i just thought that this particular mcknight winner was speaking your language  |  LOV
despicable lunatic |  ANG
and marino is now nominated to lead it  |  ANG
who is he     |  LOV
thank you  susan  we need you there  |  LOV
really    giving equal voice is wrong  gon na debate then get 97 climate scientists and 1 denierthat would be truth   |  ANG
no deal  trump is not going to make americans pay for his stupid wall  |  ANG
they re rarer than hens  teeth nowadays  |  LOV
sinclair sucks  |  ANG
it is all money  if we as americans ca nt figure out how to stop the money flowing into our government we are doomed  and our country will be lost to the rich and corporations  |  ANG
could that guy in the interview be more full of it  |  ANG
creeper |  ANG
radford johnson the increase in calamity is due to global warming  moron  there are some very good articles online explaining how that happens if you would pull your head out and read  |  SAD
they re trying to do this to komo tv in seattle |  ANG
her ignorance on issues should scare everyone  |  LOV
call him what he is  a liar  |  ANG
helen vivi stavropoulos cloutier |  LOV
bannon is all over the news lately  do a search  |  HAH
thanks so much president  |  ANG
what would we do if some foreign nation told us that it had decided to  negotiate  us into a reduced state of defense and that we had no choice  |  ANG
hmmm  persecuted christians  jews   |  SAD
i knew him the minute i saw him  he is to blame for lola  |  LOV
courts can challenge any legislation and any government action  |  ANG
at least a voice of reason will be around for a while longer  |  LOV
    |  SAD
my sense of humor could nt field that and laugh  sorry  it s just so likely  |  ANG
susan collins is needed in the senate  |  LOV
i think bombs are already illegal  |  SAD
and  depending on the flora in the yard or near the compound  perhaps there s a nest  lol |  WOW
mr trump might want to check out the five freedoms of the 1st amendment of the constitution  |  ANG
we have all gone nuts   |  SAD
we  fl  have dummies that toss cigarette butts out  good luck out there  |  SAD
pbs sucks 😊      |  SAD
maine desperately needs a new governer but thank she is staying in the senate |  LOV
nazi germany  folks and there s a difference between bias and outright lies  |  ANG
there s only one problem with drugs  they wear off lol |  ANG
somebody get the crayons  |  HAH
psychologically unfit  |  HAH
