what a jerk  |  ANG
😡 |  ANG
he s a pos  that is all  |  ANG
trump disgusts |  ANG
he s a lying idiot  not my president   |  ANG
moron    |  ANG
45 you suck  |  ANG
liar liar pants on fire  |  ANG
we all know trump lied  |  ANG
can 45 |  ANG
what a jerk  |  ANG
how low can you go |  ANG
how do you know  the liberal media  |  ANG
trump  he’s as dumb as they get  |  ANG
fu chump  |  ANG
lies as usual |  ANG
how low can you go  |  ANG
i detest trump |  ANG
call him what he is  a liar  |  ANG
impeach this moron  |  ANG
    |  ANG
oink  oink  oink  |  ANG
😳 |  ANG
l |  ANG
pig |  ANG
falsehoods |  ANG
liar in chief  |  ANG
sleaze |  ANG
liar in chief  |  ANG
pathetic      |  ANG
he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
 thehillcomhomenewsadministration355861obamahostedkellyatbreakfastforgoldstarfamiliesaftersondied |  ANG
 mfacebookcomstoryphp  storyfbid10155841699504540  id1629925673968109 |  ANG
disgusting subhuman  |  ANG
lying puke  |  ANG
  storyfbid1579612945409462  id203805062990264 |  ANG
does sessions know about this  where is sessions  |  ANG
it s all about the money  |  ANG
why  is the questionanswer  control  greed |  ANG
once again congress protects us with their cowardice |  ANG
the paid swamp is as strong as ever and citizens are dying  but who cares    congress i think not   |  ANG
president trump please do nt hire marino  |  ANG
pink floyd had it right   money it s shame  |  ANG
 these distributors were merely paying homage to their god  mammon  |  ANG
this is how our government works        and to hell with everyone and everything else  |  ANG
not drug distributers but republicans in congress  |  ANG
again profits trump ethics and human caring  the very companies that we trust to provide life saving medicines have become blood sucking vampires sucking blood and money from those who are vulnerable  shame on you  |  ANG
lock them up congress and the licensed drug pushers 😠😠😠😠😠😠😠😠😠 |  ANG
take the corporations out of government |  ANG
but they make too much money   |  ANG
exactly  govt is nt the place to get rich  |  ANG
how are denominating the sales incentives of the life sciences ceos  |  ANG
that explains a lot |  ANG
it explains everything  |  ANG
it all depends on who gets the money  |  ANG
so where s the boss of the dia in all of this  crush this nonsense  |  ANG
that s what the democratic party 🎉 can do for us  very scary behavior from our elected officials |  ANG
what an enlightening but disturbing 60 minutes segment that was  |  ANG
hopefully a democraticindependent sweep will change that and get some sanity restored  |  ANG
there s only one problem with drugs  they wear off lol |  ANG
we re losing our groundspeople with the flooding of pharmaceutical companies private suppliers  more than the opioids  research my friendsresearch   🐞 |  ANG
thanks for covering this |  ANG
opioid deaths were on the rise throughout obama s stint  it s not a coincidence        |  ANG
|  ANG
reap what you sow 😞 |  ANG
marsha blackburn the dealer |  ANG
corporations control congress  nothing new  |  ANG
profits before lives  |  ANG
obama |  ANG
this is terrifying  |  ANG
please register and vote  |  ANG
k street at your service  folks  |  ANG
criminals  murderers  most of all  creepy cretins  |  ANG
death panels  |  ANG
free market principles |  ANG
shared |  ANG
sounds like collusion to me  |  ANG
the greed will never stop |  ANG
politicians are all crooks period  |  ANG
but why though  🤔 💰💰💰 |  ANG
follow the money  |  ANG
disgusting just simply disgusting |  ANG
business as usual  |  ANG
they should rot in hell |  ANG
shocker  |  ANG
stand for the flag  |  ANG
greed over people  |  ANG
corruption |  ANG
deregulation can kill  |  ANG
corruption at its worst |  ANG
we are cattle  |  ANG
greed |  ANG
despicable  |  ANG
deplorable and disgusting  |  ANG
😡 |  ANG
    |  ANG
soma |  ANG
money money money |  ANG
😡😡😡 |  ANG
call em drug dealers |  ANG
n e farms  hawesville  ky  |  ANG
and marino is now nominated to lead it  |  ANG
marino drug czar    |  ANG
mae taylor |  ANG
  vkyn9afckf8a |  ANG
elsbeth tascioni |  ANG
tja  wirklich grässlich  die dea hat keine chance  es ist wie mit allen drogen  es gibt leider zuviele menschen auf der welt  die ihre gier nach noch mehr geld gewissenlos auf kosten und untergang anderer menschen befriedigen   |  ANG
so corrupt in america |  ANG
heidi waukechon |  ANG
 theweekcomarticles541564howamericanopiateepidemicstartedbypharmaceuticalcompany |  ANG
60 minutes aired this powerful eye opening segment sunday evening  exdea agent  opioid crisis fueled by drug industry and congress   video   exdea agent  opioid crisis fueled by drug industry and congress   text   dea responds to explosive  60 minutes  report about opioid crisis   the drug enforcement administration’s attempts to curb the opioid epidemic as deaths increased were thwarted by powerful forces in washington  according to a joint report by “60 minutes” and the washington post   meet the dea whistleblower   drug distributors fall ahead of ‘60 minutes’ report on opioid crisis   cmpidyhooheadline  yptryahoo   share   |  ANG
   share   |  ANG
another corrupt pa politician  |  ANG
again  take away standard deductions from those affected most  middle class and poor  of course the extravagant tax break for don and other millionaires   ivanka and jared for example  will allow them to reinvest in the economy  wall street   trickle down does not work reagan  bush  bush and now don  |  ANG
please reinvest in economy and repatriate funds held by corporations overseas  my 401k et al will do gangbusters as it’s currently doing  |  ANG
gee john  the tax legislation hasn’t even been published and you’re assuming all sorts of evilgreed  what is your outline for tax equity  keep in mind that most income wealth results from abilities  diligenc  and thrift  |  ANG
read the pbs story  |  ANG
you need to study up a bit  to wit  1  half the population  including the poor  does nt pay income taxes to begin with  2  they re talking about increasing the standard deduction  not taking it away  the itemized deductions they re talking about cutting tend to benefit the wealthy much more  |  ANG
ted miller yes but this benefit trump and his heirs tremendously  supply side economics has never worked  |  ANG
hell john  i do nt care if the rich get richer  after all  they re the ones that invest and hire employees  or the companies they invest in do   my primary concern is that i do nt get any any poorer  i m retired and due to the stagnant economy i have nt had an increase in my retirement paycheck since jan 2001 the potus s  43  44 economic policies did nt do squat for me  in fact  i was penalized when my wife died because i now have to file as single  that increased my taxes while my income and outgo did nt change  because of the screwed up tax system needed to support all the entitlements for the  poor  i now have to pinch penny until lincoln squeals like a stuck pig  where is the support from the dems  who only want to increase taxes so they can spend it  to redo the tax code  frankly  i could do a lot better with a consumption tax because i d then have some control over my spending and taxes  and  i guess you think taxing manufacturing and other corporations is the answer do nt you  hello  they just pass those taxes on to the consumer with higher prices  boy  you need to stay away from the socialist s koolaid  |  ANG
raising the standard deduction will mean that fewer taxpayers will itemize  if fewer taxpayers itemize  then that will reduce the incentive for many of them to make charitable contributions or buy homes  especially among the middle class  charitable contributions  mortgage interest and local property taxes might still be deductible  but only if you itemize  |  ANG
we all know their tax plan favors the rich and getting rid of the estate tax is a huge win for all of them  they will still keep deductions by using them in their businesses just like they do now  not for middle america at all |  ANG
eliminating alternative minimum tax and estate tax will save rich people  like  45 and family  millions if not billions  when  45 says he does not benefit from his tax proposal  he is lying  bigly  |  ANG
they throw the masses crumbs while giving themselves the bakery  |  ANG
why is it considered a tax break  you are being doubled taxed if you pay taxes on state and local taxes   i thought you were not supposed to be double taxed  |  ANG
pers  biz income should be taxed once regardless of tax authority  hard to accmplish with multiple gvt levels needing funds  pers income taxfree states get there but their expenses are met with prop  sales  etc taxes  most states tax biz income but pers stockholders shouldn’t pay tax on dividends as biz pays a tax b4 distributing  maybe dividends like interest exp should be deductible instead  death  estate  taxes are worst example of double taxing  all peoples’ property is bought with previously taxed income  in a previous admin  maybe clinton   eliminating deductions for 2nd homesyachts was attempted but failed politically  i favor the non deduct of 2nd home intprop tax  |  ANG
trump’s plan is a massive tax cut for the wealthy  cutting taxes for the wealthy few by an average of  40000 a year  trump would cut corporate taxes in half  and cut taxes on overseas profits to zero – rewarding companies that send jobs overseas  his plan also includes a brand new tax loophole for highflying noncorporate businesses like law firms  investment funds  and donald trump’s own real estate empire  trump would eliminate the estate tax  a huge personal benefit to his children – and millionaire heirs like them   remember  only estates over  11 million pay any estate tax   for middleclass families of 4  or more   the elimination of the standard deduction means a big tax increase  they’re even raising the tax rate on the poorest americans – those making less than  9000 a year – from 10  to 12   |  ANG
and the elimination of the estate tax actually increases income taxes  and the burden of compliance  for everyone  |  ANG
this is a no vote   trump never was going to make america great  he used americans to make himself profit and the gop let every step of the way  vote them all out   |  ANG
no big biz pays 35   effective tax rate  warren buffett says his secretary paid more taxes than him ge paid 5  trump  0  wait until they put numbers that correlate to the 3 brackets and let several economists evaluate the proposal remember trump promised the changes won’t help him and will be heavily weighted to the middle class |  ANG
i believe that the effective tax rate  for the trumptards that means  real  rate  paid by big business is around 14   when trump surreptitiously released his 2005 return  the only reason he paid a measly 20  rate was the alternative minimum tax  otherwise his tax rate would have been only 6  when he claims that the new tax plan  which eliminates the amt wo nt help him personally  it s just another one of his many bold faced lies  |  ANG
don has lied over 1000 times just president  do nt hold your breath  |  ANG
and here i am  thinking that the basis for allowing taxes paid to state government to be deductible on federal taxes was to keep us from paying taxes on taxes  whatever happened to that notion  |  ANG
reagan kind of killed that when he started taxing people social security taxes  that we already paid taxes on when we earned the money from which our social security came  |  ANG
well that seems unfair  even more recently  my 403  b  contributions before retirement were deducted from taxable earnings so that my retirement distributions are now taxable  seems the same principle should appy to social security as to other forms of retirement plans  like iras versus roth iras  |  ANG
dinah  granted that some lowerincome retirees may escape taxes on their social security benefits by formula  but higher income earners who retire with higher benefits and other retirement resources wind up paying taxes again on their social security benefits after having already paid taxes on their contributions  even other retirement plans like iras do nt work this way  |  ANG
pbs get a spine before it s too late  trump tax plan is a farce  lie and unamerican  stand up for gods sake  poor gwen turning in her grave  speak up pbs  call out this liar  |  ANG
if you pay property taxes and itemize you will likely have a tax increase with this tax cuts for businesses |  ANG
i dont even have to read it  based on the history of this administration  it stinks and is no use to regular americans  |  ANG
100000 is not necessarily  high income  sure would be nice to make 100k in buford wy  but see how far that goes when you live nyc  i generally love pbs reporting  but it would have been better to address the complexity of america and how hard it is to make a uniformly fair tax code for everyone when there is such disparity in economic realities  not just the  being deposited into your account each pay period  but also how much it costs to live in different places  |  ANG
the cuts do nt get really significant until  500000  |  ANG
i live in soca and  100000 would be great  except the state would take it all  |  ANG
william gutgesell  i know  im a tax cpa  ca rates are really high  as are new york  especially if you re in nyc paying city income tax too  |  ANG
trump is the most tremendous  yes tremendous biggest the best businessman president ever  we will win and have satisfaction guaranteed or your money back  😂 |  ANG
all my money back  yaboo soooeee  |  ANG
i m sick of winning already  |  ANG
i m sick of winning already  |  ANG
hey mike  i hope trump visits your family soon so he can grab your women s pussy  he s a moron and a pig |  ANG
rick attwood please reread my post sir |  ANG
rick attwood i agree 100  |  ANG
without that deduction  many in the middle class will see higher tax bills  not lower  |  ANG
jimmy crack korn and don do nt care   |  ANG
wait and see  the middle class and poor will get the short end of this too  |  ANG
actually with a proposed  24000 standard deduction  more of the poor will get away without paying any tax at all  everyone  rich or poor  should pay their fair share  |  ANG
eliot w collins 24k if married  do nt sugarcoat your lies  |  ANG
joe smith  how exactly did i lie  and what did i sugarcoat  educate me  |  ANG
this plan will actually help the lower income earners because it doubles their standard deductions  democrats would rather poor people have less in their pockets if it meant the rich paid more out of theirs  |  ANG
eliot w collins some of the poor will actually see a tax increase from 10  to 12  how fair is that  |  ANG
linda mae brown  how will that happen  please provide details  educate me  |  ANG
carving up the world again  a wall and not a fence robert plant   vjggolabrpqc  the russians  the americans  the british and their friends they re carving up the world again  it s getting kind of tense a whole lot of posture and very little sense it s no surprise they hide behind a wall and not a fence … call up the cavalry and double up the guard plan for catastrophe inside the house of cards   |  ANG
come on  mueller    we ca nt take much more of this sob  |  ANG
it s all controlled by the rich constituents the poor mean nothing because they ca nt line politicians pockets like the rich can |  ANG
i thought a tax on a tax was unconstitutional  |  ANG
taxes are way harder than they thought  |  ANG
if there is anything more soulless than a republican  i ca nt imagine it  |  ANG
help puerto rico you stupid fool           help california you stupid fool      derelictionofduty fat  lazy  lying traitor  child rapist  serial sexual predator  tax evader  cheater  conman  father of lies  adulter   stfu and resign  you incompetent fool     get this crackhead out of our white house     doyourjobrepublicancongress |  ANG
we sent help to puerto rico  and it sat in the ports because local truck drivers would nt haul it for less than 5000hr  so they decided to protest instead of helping to deliver supplies to the local population  and we ve sent help to get their power up and running but that takes time it s not an overnight fix  |  ANG
oh stfu and go watch your fox cartoons trumptard  |  ANG
gunnerman bfmc sleepy  where is your source  we sent the military in  they can drive trucks  but the roads were impassible  what good is a truck when you ca nt drive on the road  supplies should have been air lifted  despite what trump says  our military should be helping  you ca nt expect people without water and food to work clearing the roads  |  ANG
stephanie green gawd  take chill pill  been watching too much cnn  |  ANG
troll |  ANG
this would kill nys  |  ANG
any high state with high taxes  |  ANG
new jersey  |  ANG
let s see your tax returns  donald  |  ANG
we aren’t buying the bs plan  try again |  ANG
lies  lies  and more lies  fake  president   |  ANG
whole plan is bs  kill the plan  |  ANG
another well thought out plan  🤡 |  ANG
 impeach |  ANG
it sucks  |  ANG
 notonepenny |  ANG
with the proposed  24000 standard deduction  more of the poor will get away without paying any tax at all  everyone  rich or poor  should pay their fair share  |  ANG
   for 36 years   since 1981   we have seen the working middle class deteriorate in america  due to reagan era trickledown economics  and shipping america s manufacturing to foreign countries   do nt forget that the usa is borrowing     to pay the tax deficit due to the wealthy billionaires   nearbillionaires  who are not paying their fair share of income taxes  this is responsible for much of our current national deficit created by these parasites   do nt believe for one minute that the billionaires   nearbillionaires  want to make life better for the working middle class in mainstream america   remember  they are the ones who have shipped america s manufacturing to china  india  etal   furthermore   have you received your reagan era trickledown  money yet     well  do nt go runnin  to the mailbox lookin  for your check         |  ANG
 krugmanblogsnytimescom20171014lieslieslieslieslieslieslieslieslieslies  r0 |  ANG
 |  ANG
the turtle and the crested cocketeil reminds again  |  ANG
obama did the leg work morons |  ANG
pussy grabber in chief |  ANG
you libtards are big overgrown crybabies  lol |  ANG
pedophilia betterment society  pbs  |  ANG
president trump is so much better than loser obama  |  ANG
your an idiot |  ANG
he gets all his briefings from fox  |  ANG
with your help aca will indeed collapse  |  ANG
i’ll be glad when i don’t have to see that orange face or here that jerks voice any more |  ANG
what s the matter with you libtards   you ca nt handle the truth    |  ANG
hey trump  look down  your pens are on fire  |  ANG
 whatanasshole |  ANG
trump making corporate gop deals now  |  ANG
mitch get ready to have your chinless face held by the tiny tiniest hands and suck a flaccid orange cock  |  ANG
wtf  scholars |  ANG
libtards are so bitter lmfaoff |  ANG
trolls for trump |  ANG
where the hell does he dig up this crap  |  ANG
democrats are obstructionists regardless of the harm they do to their constituents  |  ANG
nobody praises trump like trump |  ANG
mr trump resign please |  ANG
idiot |  ANG
pussy grabber |  ANG
suck up time |  ANG
thank you president trump |  ANG
love president trump  great guy  making america great again |  ANG
is that like the virgin islands  hawaii  puerto rico  |  ANG
fantastic president |  ANG
moron a true moron |  ANG
donny john the liar in chief |  ANG
such an idiot  |  ANG
blithering idiot  |  ANG
unspoken elements  your an idiot |  ANG
my god what an idiot |  ANG
trump  trump  trump  |  ANG
moron in chief |  ANG
mcconnell looks like he wants to puke  |  ANG
haters in chief  |  ANG
moron  |  ANG
because of you  idiot |  ANG
trump  trump  trump  |  ANG
trump  trump  trump  |  ANG
 miccomarticles185272trumpclaimspastpresidentsdidntcallparentsoffallensoldiersthats100false |  ANG
who the heck would vote for either one of these idiots |  ANG
i think what he means by closer than before is they are face to face  trump lies |  ANG
you get what you voted for        |  ANG
80   of benefits go to the top 1   bad plan |  ANG
your tax plan is crap |  ANG
  animatedimagevideo   |  ANG
tweetie needs to shut up  he lies       |  ANG
please register and vote  |  ANG
tax religious organizations  |  ANG
liddle donwad loudmouth  |  ANG
tax overhaul  you say       |  ANG
|  ANG
welfare for the rich  as usual      |  ANG
prepare  ben dover |  ANG
tired of  winning already  |  ANG
won’t happen thankfully 😅 |  ANG
grand theft is not a tax plan  |  ANG
where are his taxes  |  ANG
uh oh  not another twitter tirade  🙈 |  ANG
jealous man |  ANG
cut taxes  increase defense spending  deficit  who cares  iokiyar |  ANG
blotus  pathologically  |  ANG
sure he will |  ANG
very wrong move |  ANG
his tax scam  you mean |  ANG
he saved the worst for last  smart  |  ANG
lol loser  |  ANG
only serving himself  |  ANG
screw you trump  |  ANG
 corporations are people too   |  ANG
what a jerk  |  ANG
 covfefe |  ANG
more trickledown   |  ANG
shame  |  ANG
pbs  pedophilia betterment society |  ANG
impeach |  ANG
no no no |  ANG
empress twitler is up to it again       |  ANG
😎      |  ANG
  |  ANG
 |  ANG
 mfacebookcomstoryphp  storyfbid10155841699504540  id1629925673968109 |  ANG
to bankrupt america  |  ANG
traitor to america |  ANG
good bye usa |  ANG
plenty of wealth  none of it makes into the pockets of working families  index wages to profits so companies cant pass wages increases on to consumers  with higher wages families wont need tax funded programs no need for a skyrocketing debt |  ANG
stop telling other people how to live their lives  worry more about your own life and let god take care of the rest  |  ANG
 separationofchurchandstate business operates in the public sector  there s no right to impose beliefs or morals on others such as the general public or on employees  |  ANG
my religion forbids abortion so if i get pregnant  i will never have one  i also believe that you have your own intelligence and beliefs  so i will leave your choice to you |  ANG
 during a meeting    a  legal scholar had said that  if the supreme court did so  many states would likely legalize abortion on their own  you see   trump asked pence  you ve wasted all this time and energy on it  and it s not going to end abortion anyway     from the new yorker 🤡😜😆 |  ANG
