love his work  makes me miss my kojo even more  |  LOV
 yep  i want two “ghost” ones  just like his  |  LOV
i have always found these creepy and i am not a fan of treating animals like dolls  |  LOV
i love these dogs and mr wegman s artistic style  |  LOV
love him  love the doggies  |  LOV
cute in a mall kiosk way  but not art  |  LOV
i loved when he was on sesame street with them doing scenes from fairy tales  |  LOV
who does nt ❤️ weimaraners  |  LOV
mallory cannon  i remember you had these dogs  |  LOV
i was thinking about her this morning  |  LOV
saw a wonderful exhibit at the san josé art museum years ago |  LOV
kyle heath thought of you  |  LOV
i ve been in his studio in nyc  amazing  |  LOV
kyle heath i remember  very  very cool  |  LOV
robert eberle  do nt you have this same outfit  |  LOV
emily ryannorris were you the one who loved his books or was that gage  |  LOV
i love the dogs  his babypuppy book is my favorite  universal cuteness and love |  LOV
william wegman my friend     |  LOV
that dude does nt pick up the dog crap  |  LOV
not impressed  at all  |  LOV
thank you  as an art history student  i find this tacky  |  LOV
maya alia  and  thank you  |  LOV
delightful bit of news  |  LOV
i love mr wegmans work  |  LOV
have always liked his work  |  LOV
i remember the sesame street skits |  LOV
novelty |  LOV
i don’t like those s dumb  |  LOV
sesame street made him famous  |  LOV
here s my rescue buddy       |  LOV
sam  drew meller    |  LOV
cool dogs  wearing clothes weird |  LOV
they re amazing |  LOV
love it  |  LOV
so cute🤗 |  LOV
creepy  sorry |  LOV
love  wirehammers   |  LOV
wow  we’re on a roll braidee hicks lol |  LOV
omg it s so great 😂😂😂 |  LOV
just awesome |  LOV
sean purcell remember this guy  juan prado |  LOV
melanie carder remember these  |  LOV
maggie grace  cole bouse  madison bouse |  LOV
oh my gosh   were they on sesame street  |  LOV
cheryl thayer greta  ❤️ |  LOV
waggers  julie meadows wosak |  LOV
allison deputy  david deputy  daniel deputy  chloe deputy  emma deputy  justin aydelotte    |  LOV
sherri brown 😍 |  LOV
colleen mcwilliam ahhhhh |  LOV
😳 robert ramirez |  LOV
megan sarah |  LOV
theresa rothweiler  |  LOV
drew keegan |  LOV
anthony amadeo |  LOV
samuel ciricillo owen young |  LOV
ricky oliver    |  LOV
they re so genic  |  LOV
catherine   |  LOV
ian eidt |  LOV
these are so awesome  brutus would never sit still that long  |  LOV
maggie |  LOV
angela |  LOV
sarah mcquarrie |  LOV
i saw them today  |  LOV
jaime salz |  LOV
jules makingchanges remington |  LOV
john kraut |  LOV
ashley czinger |  LOV
love his s and miss my pace  |  LOV
ought you would like these  |  LOV
you mean love them  |  LOV
katarina hockey |  LOV
nadezhda jamison |  LOV
arlene bradleylester ❤️ |  LOV
kirby boes |  LOV
donna sullivan everage |  LOV
mick silvers |  LOV
that is the dog i used to have       |  LOV
i know u love dem |  LOV
they are the best |  LOV
emma willats |  LOV
sian fillingim |  LOV
justin |  LOV
beth beeby |  LOV
barbara |  LOV
david floyd |  LOV
i ve always loved his s   one of my first looks at weims  |  LOV
sally wallwork quenette |  LOV
maria blondet |  LOV
yaaasss  thank u girl  |  LOV
michael andreas |  LOV
aldo needs to be a feature in these |  LOV
obviously  he s so hot right now  |  LOV
aldo  |  LOV
judy furman |  LOV
cindy brick |  LOV
natasha |  LOV
lexi rae |  LOV
remi would make a gorgeous model  note how much fuller his figure is  |  LOV
marsha creed salerno |  LOV
i knew him the minute i saw him  he is to blame for lola  |  LOV
ps   his first weims were named man ray and then faye ray and then came  bettina  |  LOV
man ray was an incredible artist  as was faye ray  i m not familiar with bettina  |  LOV
sarah whitt salley |  LOV
we have the alphabet soup video he did with his weimaraners  we showed it to our grandsons when they were 3 years old  it is still one of their favorites  |  LOV
i loved having his weimaraner calendars for many years |  LOV
and metro stations   |  LOV
i saw his exhibit “funney strange” at the brooklyn museum awhile back  loved it  |  LOV
i remember seeing them on sesame street when i was a kid  i absolutely loved them  |  LOV
am i the only person who finds these images a little disturbing  i guess that s art  |  LOV
always makes me think of chris and ronda rhonda jones  |  LOV
we love wegman    of course  our dogs would never stand for wearing clothes 😂😂😂 |  LOV
john  thought of you when i saw this  |  LOV
first seen these dogs on letterman  the morning show  love em  |  LOV
sally lawson villegas  audie would be great at this  he is very genic and you have a great new phone camera  |  LOV
haha  not sure he would like the clothes  |  LOV
what wegman did or does is very cute  funny sometimes nice works |  LOV
not my cup of tea but viva la difference  |  LOV
loved the exhibit at the portrait gallery in washington  dc years ago  |  LOV
the feature on him on pbs news tonight was great  |  LOV
i love weimaraner’s beautiful dogs |  LOV
cool dogs wearing clothes |  LOV
kitsch  |  LOV
always make me smile  |  LOV
remember becky and her weimaraner max  |  LOV
charlotte lofgren yes  before she got max she asked me about my weimaraners  |  LOV
ely smith |  LOV
my favorite    |  LOV
cool |  LOV
very nice and funny   |  LOV
amanda quemore  aliciamarie virginia |  LOV
lynn witherspoon |  LOV
bonnie |  LOV
laura michael |  LOV
jann schauss |  LOV
mary noce thomas collins |  LOV
they look just like finn  ❤️ |  LOV
jenny simpson lapoint |  LOV
😍😍 |  LOV
rachel vitorelo 😘 |  LOV
love this  |  LOV
ker plunk  |  LOV
danielle  |  LOV
brittany yates roffman |  LOV
titi alfonso |  LOV
chris rentz |  LOV
kacie maloney |  LOV
lol babe  i know you know this has been a thing for like ever  right  |  LOV
i did nt  |  LOV
 sheltered  |  LOV
what can i say  i was a deprived child |  LOV
kaili hall |  LOV
marta hannon  |  LOV
xavian tellis and tori hedden |  LOV
kaitlyn mendoza 😂😍 |  LOV
😍 |  LOV
alex lopez |  LOV
kate finnerty |  LOV
john kraut |  LOV
diana lin |  LOV
omg this is awesome |  LOV
himadri |  LOV
gitta joschonek remember savannah  |  LOV
melissa kibler ❤😂 |  LOV
carrie ohnstad kyle ohnstad |  LOV
bethany kuenne and jonathan kuenne   |  LOV
