comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10155881869898675_10155883504953675,6491828674_10155881869898675,,"Whoa....Bradley is from Clearwater, FL, not from San Antonio! He entered his plea in the federal court in San Antonio, but he is definitely not from here!",Cheryl Boone-Delgado,2017-10-17 21:36:37,1,1,0,0,0,0,0,0
10155881869898675_10155883079698675,6491828674_10155881869898675,,"How about 10 counts of manslaughter, too, while we're at it?",Judith Mulvaney,2017-10-17 17:32:03,3,3,0,0,0,0,0,0
10155881869898675_10155882250813675,6491828674_10155881869898675,,Trolls out in force today.. Well played Russia.,Eliud Angeles,2017-10-17 12:27:26,5,4,0,0,1,0,0,0
10155881869898675_10155882994748675,6491828674_10155881869898675,10155881869898675_10155882250813675,[[PHOTO]],Eliud Angeles,2017-10-17 16:46:11,0,0,0,0,0,0,0,0
10155881869898675_10155883054143675,6491828674_10155881869898675,10155881869898675_10155882250813675,"me russian troll who no want illegals diedead in semi lorrie build maga wall 
pls come brazil",David Akerlund,2017-10-17 17:13:47,0,0,0,0,0,0,0,0
10155881869898675_10155882190688675,6491828674_10155881869898675,,Only a liberal would do this.,Grant Colley,2017-10-17 11:57:37,0,0,0,0,0,0,0,0
10155881869898675_10155882195213675,6491828674_10155881869898675,10155881869898675_10155882190688675,Do what?,Barbra Ann Ivy,2017-10-17 12:00:08,0,0,0,0,0,0,0,0
10155881869898675_10155882195738675,6491828674_10155881869898675,10155881869898675_10155882190688675,Barbra Ann Ivy Smuggle illegals,Grant Colley,2017-10-17 12:00:26,1,1,0,0,0,0,0,0
10155881869898675_10155882199963675,6491828674_10155881869898675,10155881869898675_10155882190688675,"How can you say ""only a liberal would do that""? Really? That is inflammatory language,  not true, and does not even make sense.",Barbra Ann Ivy,2017-10-17 12:02:50,4,4,0,0,0,0,0,0
10155881869898675_10155882205963675,6491828674_10155881869898675,10155881869898675_10155882190688675,Barbra Ann Ivy Liberals want illegals in the country.,Grant Colley,2017-10-17 12:04:33,3,2,0,0,1,0,0,0
